PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20230208;2;2023;7338343;1;1;1;;2;28.780.126.112;18;1;5;3;1;1;2;2;2;;2;1;5;2;2;1;4;2;1;5;5;;;;80000;;;;;;;;;;1;;;3
20230208;2;2023;7338344;1;1;1;;2;37.163.210.403;18;1;5;3;1;1;2;2;2;;2;1;5;1;2;1;4;2;1;5;4;;;;50000;;;;;;;;;;1;;;4
20230208;2;2023;7338345;1;1;1;;2;33.379.102.895;18;1;1;4;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;4;3;;;;;50000;;;;;;;;;1;;;4
20230208;2;2023;7338346;1;1;1;;2;25.960.038.427;18;1;1;1;1;1;2;2;2;;2;1;4;3;2;1;4;2;1;4;5;;;;70000;;;;;;;;;;1;;;3
20230208;2;2023;7338347;1;1;1;;2;21.502.179.881;18;1;5;3;1;1;2;2;2;;2;1;2;1;2;1;4;2;1;4;1;;;1000000;30000;;;;;;;;;;1;;;1
20230208;2;2023;7338348;1;1;1;;2;31.676.443.659;18;1;5;2;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;5;1;;;5000000;150000;;;;;;;;;;1;;;4
20230208;2;2023;7338349;1;1;1;;2;16.612.934.315;18;1;1;4;1;1;2;2;2;;2;1;3;1;2;1;4;2;1;4;1;;;10000000;100000;;;1;;;;;;;;;;2
20230208;2;2023;7338350;1;1;1;;2;5.548.660.118;18;1;1;4;1;1;2;2;2;;2;1;3;2;2;1;4;2;1;4;3;;;;;150000;;;;;;;;;1;;;6
20230208;2;2023;7338351;1;1;1;;2;15.784.071.575;18;1;5;1;1;1;2;2;2;;2;1;2;1;2;1;4;2;5;4;4;;;;100000;;;1;;;;;;;;;;1
20230208;2;2023;7338352;1;1;1;;2;3.381.929.658;18;1;5;2;1;1;2;2;2;;2;1;3;1;2;1;4;2;1;4;5;;;;150000;;;;;;;;;;1;;;3
20230208;2;2023;7338353;1;1;1;;2;24.996.018.605;18;1;5;2;1;1;2;2;2;;2;1;3;1;2;1;4;2;3;4;5;;;;100000;;;1;;;;;;;;;;3
20230208;2;2023;7338354;1;1;1;;2;28.780.126.112;18;1;1;2;1;1;2;2;2;;2;1;4;2;2;1;4;2;1;4;3;;;;;130000;;;;;;;;;1;;;3
20230205;2;2023;7338355;1;1;1;5;1;99.291.650.813;5;2;1;4;1;3;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;1150000;;1;;;;;;;;;;1
20230205;2;2023;7338356;1;1;1;5;1;99.291.650.813;5;2;1;4;1;3;1;1;1;2;1;1;3;3;1;1;1;1;1;3;1;;;190000000;1300000;;;1;;;;;;;;;;1
